FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14465143,14465143,POINT (16.368562112369123 48.20265587008782),Oper/Karlsplatz (Opernring),Oper/Karlsplatz (Opernring),"N25,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Oper/Karlsplatz&start=1,
OEFFHALTESTOGD.14465144,14465144,POINT (16.368562112369123 48.20265587008782),Oper/Karlsplatz (Opernring),Oper/Karlsplatz (Opernring),"N25,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Oper/Karlsplatz&start=1,
OEFFHALTESTOGD.14463523,14463523,POINT (16.326332312609185 48.242048769669964),Gustav-Pick-Gasse,Gustav-Pick-Gasse,"35A,N35",,10,https://anachb.vor.at?P=SQ&input=Wien%20Gustav-Pick-Gasse&start=1,
OEFFHALTESTOGD.14463524,14463524,POINT (16.326332312609185 48.242048769669964),Gustav-Pick-Gasse,Gustav-Pick-Gasse,"35A,N35",,11,https://anachb.vor.at?P=SQ&input=Wien%20Gustav-Pick-Gasse&start=1,
OEFFHALTESTOGD.14463525,14463525,POINT (16.344972412347992 48.24051716940018),Obersteinergasse,Obersteinergasse,"35A,N35",,10,https://anachb.vor.at?P=SQ&input=Wien%20Obersteinergasse&start=1,
OEFFHALTESTOGD.14463526,14463526,POINT (16.344972412347992 48.24051716940018),Obersteinergasse,Obersteinergasse,"35A,N35",,11,https://anachb.vor.at?P=SQ&input=Wien%20Obersteinergasse&start=1,
OEFFHALTESTOGD.14463527,14463527,POINT (16.33455191242247 48.24081037010013),Rodlergasse,Rodlergasse,"35A,N35",,10,https://anachb.vor.at?P=SQ&input=Wien%20Rodlergasse&start=1,
OEFFHALTESTOGD.14463528,14463528,POINT (16.33455191242247 48.24081037010013),Rodlergasse,Rodlergasse,"35A,N35",,11,https://anachb.vor.at?P=SQ&input=Wien%20Rodlergasse&start=1,
OEFFHALTESTOGD.14463529,14463529,POINT (16.33368051292709 48.24072066956249),Rodlergasse,Rodlergasse,"35A,N35",,10,https://anachb.vor.at?P=SQ&input=Wien%20Rodlergasse&start=1,
OEFFHALTESTOGD.14463530,14463530,POINT (16.33368051292709 48.24072066956249),Rodlergasse,Rodlergasse,"35A,N35",,11,https://anachb.vor.at?P=SQ&input=Wien%20Rodlergasse&start=1,
OEFFHALTESTOGD.14463531,14463531,POINT (16.311653811838195 48.24787556950668),Kleingartenverein Hackenberg,Kleingartenverein Hackenberg,"35A,N35",,10,https://anachb.vor.at?P=SQ&input=Wien%20Kleingartenverein%20Hackenberg&start=1,
