rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4407;Braunschweiggasse;U4;HEILIGENSTADT;2026-02-12T17:44:45.000+0100;2026-02-12T17:44:45.000+0100;5;2026-02-12T17:39:50.249612
4409;Hietzing;U4;HEILIGENSTADT    ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249620
4411;Schönbrunn;U4;HEILIGENSTADT    ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249628
4413;Meidling, Hauptstraße;U4;HEILIGENSTADT    ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249636
4415;Margaretengürtel;U4;HEILIGENSTADT    ;2026-02-12T17:44:45.000+0100;2026-02-12T17:44:45.000+0100;5;2026-02-12T17:39:50.249644
4417;Pilgramgasse;U4;HEILIGENSTADT    ;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249651
4419;Kettenbrückengasse;U4;HEILIGENSTADT    ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249658
4421;Karlsplatz;U4;HEILIGENSTADT ;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249664
4423;Stadtpark;U4;HEILIGENSTADT;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249671
4425;Landstraße;U4;HEILIGENSTADT;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249681
4427;Schwedenplatz;U4;HEILIGENSTADT;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:50.249688
4429;Schottenring;U4;HEILIGENSTADT;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249695
