rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4262;Taborstraße;U2;ASPERNSTRASSE    ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440497
4202;Karlsplatz;U2;ASPERNSTRASSE ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440509
4210;Rathaus;U2;SEESTADT         ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440522
4273;Lina-Loos-Platz;U2;SEESTADT         ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440535
4266;Stadion;U2;SEESTADT         ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.440547
4269;Stadlau;U2;ASPERNSTRASSE    ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.440559
4263;Praterstern;U2;ASPERNSTRASSE ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.440572
4274;Hausfeldstraße;U2;SEESTADT         ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440589
4270;Hardeggasse;U2;ASPERNSTRASSE    ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440603
4212;Schottentor;U2;SEESTADT         ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.440616
4204;Museumsquartier;U2;ASPERNSTRASSE    ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.440630
4268;Donaumarina;U2;SEESTADT         ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.440642
4271;Donauspital;U2;ASPERNSTRASSE    ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.440657
4264;Messe;U2;SEESTADT         ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.440669
4275;Aspern Nord;U2;SEESTADT         ;2026-02-07T15:46:15.000+0100;2026-02-07T15:46:15.000+0100;6;2026-02-07T15:40:32.440682
4267;Donaustadtbrücke;U2;ASPERNSTRASSE    ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440694
4206;Volkstheater;U2;ASPERNSTRASSE    ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.440706
4214;Schottenring;U2;ASPERNSTRASSE ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.440718
4265;Krieau;U2;SEESTADT         ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440730
4272;Aspernstraße;U2;SEESTADT         ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440741
4403;Ober St. Veit;U4;HEILIGENSTADT    ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.440754
4427;Schwedenplatz;U4;HEILIGENSTADT ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440766
4415;Margaretengürtel;U4;HEILIGENSTADT    ;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440778
4421;Karlsplatz;U4;HEILIGENSTADT ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.440791
4411;Schönbrunn;U4;HEILIGENSTADT;2026-02-07T15:41:15.000+0100;2026-02-07T15:41:15.000+0100;1;2026-02-07T15:40:32.440802
4439;Spittelau;U4;HEILIGENSTADT ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.440814
4405;Unter St. Veit;U4;HEILIGENSTADT    ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440826
4429;Schottenring;U4;HEILIGENSTADT ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.440838
4423;Stadtpark;U4;HEILIGENSTADT    ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440849
4413;Meidling, Hauptstraße;U4;HEILIGENSTADT;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440861
4417;Pilgramgasse;U4;HEILIGENSTADT    ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440873
4401;Hütteldorf;U4;HEILIGENSTADT;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440885
4407;Braunschweiggasse;U4;HEILIGENSTADT    ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.440897
